MPI Ranks,Avg Total Max (s),Speedup,Efficiency,Avg Overhead Ratio,Total Run Time (s),Best Fitness,households,horizon,individuals,max_generation,repetitions
1,7.323242,1.0,1.0,0.001,1098.4944,7.9153237,48,60,2000,150,8
2,3.67986,1.99,0.995,0.012,551.98175,7.918887,48,60,2000,150,8
4,1.97283,3.712,0.928,0.029,295.92075,7.92683,48,60,2000,150,8
8,0.92581,7.91,0.989,0.03,138.86996,7.9209185,48,60,2000,150,8
16,0.467257,15.673,0.98,0.037,70.08569,7.921945,48,60,2000,150,8
32,0.472439,15.501,0.484,0.533,70.85376,7.917341,48,60,2000,150,8
64,0.250245,29.264,0.457,0.566,37.524654,7.921021,48,60,2000,150,8
128,0.162115,45.173,0.353,0.691,24.300745,7.8872504,48,60,2000,150,8
256,0.090883,80.578,0.315,0.77,13.590707,7.9217405,48,60,2000,150,8
