MPI Ranks,Avg Total Max (s),Speedup,Efficiency,Avg Overhead Ratio,Total Run Time (s),Best Fitness,households,horizon,individuals,max_generation,repetitions
1,7.407287,1.0,1.0,0.001,1111.1002,7.929223,48,60,2000,150,8
2,3.726926,1.988,0.994,0.005,559.0405,7.9287252,48,60,2000,150,8
4,1.878476,3.943,0.986,0.021,281.77048,7.9394383,48,60,2000,150,8
8,0.946491,7.826,0.978,0.044,141.9723,7.9215794,48,60,2000,150,8
16,0.481064,15.398,0.962,0.057,72.156975,7.914568,48,60,2000,150,8
32,0.475472,15.579,0.487,0.535,71.30783,7.9247985,48,60,2000,150,8
64,0.353722,20.941,0.327,0.698,53.03493,7.9177756,48,60,2000,150,8
128,0.158381,46.769,0.365,0.683,23.744379,7.8977513,48,60,2000,150,8
256,0.091731,80.75,0.315,0.77,13.745301,7.915465,48,60,2000,150,8
