MPI Ranks,Avg Total Max (s),Speedup,Efficiency,Avg Overhead Ratio,Total Run Time (s),Best Fitness,households,horizon,individuals,max_generation,repetitions
2,3.677162,1.0,1.0,0.015,551.5766,7.9191904,48,60,2000,150,8
4,3.749118,0.981,0.49,0.016,562.36523,7.9167957,48,60,4000,150,8
8,3.732663,0.985,0.246,0.033,559.885,7.9161773,48,60,8000,150,8
16,3.718731,0.989,0.124,0.043,557.78796,7.915351,48,60,16000,150,8
32,7.496585,0.491,0.031,0.531,1124.3092,7.913744,48,60,32000,150,8
64,7.847357,0.469,0.015,0.559,1176.7362,7.9138823,48,60,64000,150,8
128,10.181864,0.361,0.006,0.676,1526.4738,7.913581,48,60,128000,150,8
256,9.451298,0.389,0.003,0.685,1416.2103,7.9129233,48,60,256000,150,8
